from,to,weight
0,1,51
0,2,51
0,3,51
1,2,51
1,3,51
2,3,51
9,10,52
14,17,47
15,16,47
4,7,43
4,8,43
7,8,51
5,9,43
5,10,41
0,4,50
0,5,44
0,6,44
0,7,41
0,8,41
0,9,41
0,10,39
0,11,33
1,4,44
1,5,50
1,6,44
1,7,41
1,8,41
1,9,41
1,10,39
1,11,33
2,4,44
2,5,44
2,6,44
2,7,41
2,8,41
2,9,41
2,10,39
2,11,33
3,4,44
3,5,44
3,6,50
3,7,41
3,8,41
3,9,41
3,10,39
3,11,33
4,5,44
4,6,44
4,9,41
4,10,39
4,11,33
5,6,44
5,7,41
5,8,41
5,11,33
6,7,41
6,8,41
6,9,41
6,10,39
6,11,33
7,9,41
7,10,39
7,11,33
8,9,41
8,10,39
8,11,33
9,11,33
10,11,33
13,18,30
6,12,19
0,12,18
1,12,18
2,12,18
3,12,18
4,12,18
5,12,18
7,12,18
8,12,18
9,12,18
10,12,18
11,12,18
14,19,4
17,19,4
12,19,9
7,13,5
7,18,4
8,13,5
8,18,4
9,14,5
9,17,4
10,14,5
10,17,4
11,15,5
11,16,4
0,13,4
0,14,4
1,13,4
1,14,4
2,13,4
2,14,4
3,13,4
3,14,4
4,13,4
4,14,4
5,13,4
5,14,4
6,13,4
6,14,4
7,14,4
8,14,4
9,13,4
10,13,4
11,13,4
11,14,4
12,13,4
12,14,4
13,14,4
0,15,3
0,16,3
0,17,3
0,18,3
0,19,3
1,15,3
1,16,3
1,17,3
1,18,3
1,19,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,3
3,15,3
3,16,3
3,17,3
3,18,3
3,19,3
4,15,3
4,16,3
4,17,3
4,18,3
4,19,3
5,15,3
5,16,3
5,17,3
5,18,3
5,19,3
6,15,3
6,16,3
6,17,3
6,18,3
6,19,3
7,15,3
7,16,3
7,17,3
7,19,3
8,15,3
8,16,3
8,17,3
8,19,3
9,15,3
9,16,3
9,18,3
9,19,3
10,15,3
10,16,3
10,18,3
10,19,3
11,17,3
11,18,3
11,19,3
12,15,3
12,16,4
12,17,3
12,18,3
13,15,3
13,16,5
13,17,3
13,19,8
14,15,3
14,16,3
14,18,3
15,17,3
15,18,3
15,19,3
16,17,3
16,18,5
16,19,6
17,18,3
18,19,8
